Indicação de data e hora,Sexo,Idade,Altura,Peso,Sapato,Irmãos,Civil,Futebol
06/08/2009 14:41:29,masculino,35,"1,8","93,5",43,2,solteiro,Não
06/08/2009 14:42:48,masculino,22,"1,75",68,39,2,solteiro,Sim
06/08/2009 14:43:41,masculino,30,"1,5","68,3",25,1,solteiro,Sim
06/08/2009 14:44:09,feminino,25,"1,65",62,37,1,casado,Não
06/08/2009 14:50:38,masculino,25,"1,57",54,34,2,solteiro,Sim
06/08/2009 14:51:15,feminino,25,"1,72",68,38,1,solteiro,Não
06/08/2009 14:51:49,masculino,24,"1,74","81,4",39,0,solteiro,Sim
06/08/2009 14:52:50,feminino,23,"1,65",65,37,2,outro,Não
06/08/2009 14:53:37,masculino,24,"1,75",74,40,0,casado,Sim
06/08/2009 14:54:13,feminino,26,"1,58",59,37,1,solteiro,Não
06/08/2009 14:54:39,feminino,26,"1,68",62,36,1,solteiro,Sim
06/08/2009 14:55:20,feminino,22,"1,7",68,37,0,solteiro,Sim
06/08/2009 14:56:15,masculino,24,"1,69",62,38,0,solteiro,Sim
06/08/2009 14:56:42,masculino,25,"1,71",74,40,1,solteiro,Sim
06/08/2009 14:57:07,masculino,41,"1,78",78,40,4,casado,Sim
06/08/2009 14:57:33,masculino,39,"1,81",92,42,2,casado,Sim
06/08/2009 14:57:57,masculino,38,"1,79",85,41,2,casado,Sim
06/08/2009 14:58:27,masculino,48,"1,75",84,40,1,outro,Sim
06/08/2009 14:58:56,masculino,40,"1,72",69,39,2,casado,Sim
06/08/2009 14:59:27,feminino,45,"1,64",60,36,0,casado,Não
06/08/2009 15:00:04,feminino,51,"1,6",62,35,3,casado,Sim
06/08/2009 15:00:41,feminino,32,"1,62",61,35,2,casado,Não
06/08/2009 15:01:07,feminino,29,"1,69",64,37,1,solteiro,Sim
06/08/2009 15:01:45,feminino,23,"1,67",59,36,1,solteiro,Não
06/08/2009 15:03:23,feminino,24,"1,68",62,38,1,solteiro,Sim
06/08/2009 15:03:50,feminino,24,"1,65",62,37,2,solteiro,Sim
06/08/2009 15:04:20,feminino,22,"1,68",64,38,0,solteiro,Sim
06/08/2009 15:04:48,feminino,23,"1,57",58,35,1,solteiro,Não
06/08/2009 15:05:17,feminino,22,"1,64",58,37,1,solteiro,Sim
06/08/2009 15:05:54,masculino,25,"1,7",72,39,2,solteiro,Sim
06/08/2009 15:07:14,masculino,33,"1,85",92,42,1,casado,Sim
06/08/2009 15:08:09,masculino,29,"1,68",68,40,2,casado,Sim
06/08/2009 15:09:15,masculino,25,"1,79",75,39,1,solteiro,Sim
06/08/2009 15:09:47,masculino,27,"1,72",81,41,2,casado,Sim
